Package name,app name,F-droid page,app descrition
com.tortel.syslog,SysLog,https://f-droid.org/repository/browse/?fdid=com.tortel.syslog&fdpage=55,records various log types and compresses them as a zip file the logs are saved in the application s private cache directory named by the date and time you can access the zip files through the system document picker select the syslog app to view collected log zips log types supported kernel logs dmsg last kernel log last kmsg if device supports it main log logcat modem log event logs selinux audit logs to enable access to some logs logcat and radio to syslog you will need to grant the read logs permision using a computer with adb from a command line with adb available you can grant the read logs permission via the following command adb shell pm grant com tortel syslog android permission read logs this command tells the phone s package manager to grant the read logs permission to syslog
com.github.pires.obd.reader,Android OBD-II Reader,https://f-droid.org/repository/browse/?fdid=com.github.pires.obd.reader&fdpage=3,note this app is no longer maintained obd ii reader designed to connect to a bluetooth elmthree two seven obd reader note application was previously known as eu lighthouselabs obd reader status test
com.purplefoto.pfdock,PurpleDock,https://f-droid.org/repository/browse/?fdid=com.purplefoto.pfdock&fdpage=45,purpledock is a simple replacement for the car dock app that ships with many handsets purpledock works in both portrait and landscape orientation it works when connected to power and disconnected gps usage used for speedometer is throttled when not connected to power in order to save battery life purpledock allows customization of three of the launch buttons the stickpin headphones and microphone buttons are pre assigned to google places google music and voice search to override these buttons tap and hold for one second to bring up an editor you will need to know the full name of the application and the name of the activity to launch which can be got from com ideasfrombrain search based launcher vtwo or or the androidmanifest xml of the source code of the app
org.navitproject.navit,Navit,https://f-droid.org/repository/browse/?fdid=org.navitproject.navit&fdpage=36,its modular design is capable of using vector maps of various formats for routing and rendering of the displayed map its even possible to use multiple maps at a time while navit supports all major platforms there is a fork specializing on an easy to use android only solution com zoffcc applications zanavi the routing engine not only calculates an optimal route to your destination but also generates directions and even speaks to you navit currently speaks two seven languages you can help translating via the web based translation pag
com.zoffcc.applications.zanavi,ZANavi,https://f-droid.org/repository/browse/?fdid=com.zoffcc.applications.zanavi&fdpage=64,fork of org navitproject navit that drops support for other platforms and solely focuses on android its designed to be install and start using so no fiddling with settings and xml files you can further improve the translations at menu translations and translations here are some screenshots screenshots join us on irc irc freenode org zanavi irc features new drive home widget works only if the app is installed in phone not sdcard index search support to show gpx files three d mode works offline offline navigation world overview map tunnels are visible on map bridges visible on map search offline or online spoken directions in many languages uptodate osm maps select your language in the application map preview on search results agps last destination list bookmarks add waypoints show waypoints on map full world map download free zoom level with pinch zoom enter coordinates lat lon manu
